station_id,lat,long,dock_count,city,installation_date
0,37.32973,-121.90178,27,city1,8/6/2013
1,37.3307,-121.88898,15,city1,8/5/2013
2,37.33399,-121.8949,11,city1,8/6/2013
3,37.33141,-121.8932,19,city1,8/5/2013
4,37.33672,-121.89407,15,city1,8/7/2013
5,37.3338,-121.88694,15,city1,8/7/2013
6,37.33017,-121.88583,15,city1,8/5/2013
7,37.34874,-121.89471,15,city1,8/5/2013
8,37.33739,-121.88699,15,city1,8/6/2013
9,37.33588,-121.88566,19,city1,8/6/2013
10,37.33281,-121.88389,19,city1,8/7/2013
11,37.3393,-121.88994,15,city1,8/6/2013
12,37.33269,-121.90008,19,city1,8/5/2013
13,37.33395,-121.87735,15,city1,8/7/2013
14,37.48176,-122.2269,15,city3,8/12/2013
15,37.48608,-122.23209,25,city3,8/15/2013
16,37.48762,-122.22995,15,city3,8/15/2013
17,37.48422,-122.22742,15,city3,8/12/2013
18,37.48537,-122.20329,15,city3,8/12/2013
19,37.48768,-122.22349,15,city3,8/12/2013
20,37.38922,-122.0819,15,city4,8/16/2013
21,37.39436,-122.07671,23,city4,8/15/2013
22,37.40694,-122.10676,23,city4,8/15/2013
23,37.39028,-122.06655,15,city4,8/16/2013
24,37.40044,-122.10834,15,city4,12/31/2013
25,37.38596,-122.08368,11,city4,12/31/2013
26,37.40024,-122.09908,15,city4,8/16/2013
27,37.44399,-122.16476,23,city5,8/14/2013
28,37.44452,-122.16309,11,city5,8/15/2013
29,37.42908,-122.14281,15,city5,8/14/2013
30,37.4486,-122.1595,11,city5,8/14/2013
31,37.42568,-122.13778,15,city5,8/14/2013
32,37.795,-122.39997,15,city2,8/19/2013
33,37.79728,-122.39844,15,city2,8/19/2013
34,37.79423,-122.40292,15,city2,8/19/2013
35,37.79543,-122.40477,15,city2,8/19/2013
36,37.78898,-122.40345,19,city2,8/19/2013
37,37.79995,-122.39853,15,city2,8/19/2013
38,37.7903,-122.39064,19,city2,8/20/2013
39,37.79539,-122.3942,23,city2,8/20/2013
40,37.79146,-122.39103,19,city2,8/20/2013
41,37.78387,-122.40843,19,city2,8/25/2013
42,37.78715,-122.38801,15,city2,8/20/2013
43,37.78976,-122.39464,23,city2,8/20/2013
44,37.79225,-122.39709,19,city2,8/20/2013
45,37.78175,-122.40513,15,city2,8/21/2013
46,37.77865,-122.41824,19,city2,8/21/2013
47,37.78133,-122.4186,23,city2,8/21/2013
48,37.80477,-122.40323,15,city2,8/21/2013
49,37.78053,-122.39029,27,city2,8/22/2013
50,37.7853,-122.39624,19,city2,8/22/2013
51,37.78698,-122.39811,19,city2,8/22/2013
52,37.78226,-122.39274,15,city2,8/22/2013
53,37.77106,-122.40272,15,city2,8/22/2013
54,37.77481,-122.41895,19,city2,8/23/2013
55,37.77662,-122.41739,27,city2,8/23/2013
56,37.78488,-122.40101,19,city2,8/23/2013
57,37.7766,-122.39547,23,city2,8/23/2013
58,37.77662,-122.39526,19,city2,8/23/2013
59,37.78845,-122.4085,19,city2,8/23/2013
60,37.78104,-122.41175,23,city2,8/23/2013
61,37.79852,-122.40724,15,city2,8/21/2013
62,37.79414,-122.39443,23,city2,8/25/2013
63,37.7913,-122.39905,19,city2,8/25/2013
64,37.7863,-122.40497,19,city2,8/25/2013
65,37.78963,-122.40081,27,city2,8/25/2013
66,37.3526,-121.90573,15,city1,12/31/2013
67,37.79854,-122.40086,15,city2,1/22/2014
68,37.49127,-122.23623,15,city3,2/20/2014
69,37.34273,-121.89562,15,city1,4/9/2014
