id	Sex	Length	Diameter	Height	Whole weight	Shucked weight	Viscera weight	Shell weight	Rings
0	M	0.53	0.435	0.155	0.6990000000000001	0.28800000000000003	0.1595	0.205	10
3	F	0.71	0.565	0.195	1.817	0.785	0.49200000000000005	0.49	11
7	F	0.625	0.52	0.18	1.354	0.4845	0.35100000000000003	0.375	11
12	M	0.375	0.28	0.095	0.2225	0.0875	0.043	0.08	10
16	I	0.415	0.33	0.09	0.3595	0.17	0.081	0.09	6
18	F	0.68	0.52	0.185	1.541	0.5985	0.395	0.4575	10
19	I	0.485	0.375	0.14	0.521	0.2	0.12300000000000001	0.17	8
21	F	0.65	0.545	0.165	1.5659999999999998	0.6645	0.3455	0.415	16
24	M	0.545	0.42	0.14	0.7505	0.2475	0.13	0.255	22
25	M	0.175	0.125	0.04	0.024	0.0095	0.006	0.005	4
26	M	0.625	0.48	0.16	1.2415	0.6575	0.2625	0.2785	9
28	I	0.39	0.29	0.1	0.2845	0.1255	0.0635	0.081	7
32	F	0.48	0.38	0.135	0.507	0.1915	0.1365	0.155	12
35	I	0.355	0.275	0.09	0.251	0.09699999999999999	0.053	0.08	7
38	I	0.44	0.335	0.115	0.4215	0.17300000000000001	0.0765	0.113	7
43	F	0.625	0.49	0.11	1.136	0.5265	0.1915	0.2925	9
46	I	0.385	0.3	0.09	0.308	0.1525	0.055999999999999994	0.0835	8
47	F	0.44	0.34	0.14	0.48200000000000004	0.18600000000000003	0.1085	0.16	9
51	I	0.275	0.205	0.075	0.1105	0.045	0.0285	0.035	6
54	M	0.645	0.53	0.195	1.39	0.6465	0.2945	0.3735	10
55	I	0.32	0.225	0.085	0.1415	0.0675	0.0295	0.0405	6
56	I	0.29	0.215	0.065	0.0985	0.0425	0.021	0.031	5
60	F	0.56	0.45	0.16	1.0235	0.429	0.268	0.3	10
62	F	0.62	0.5	0.175	1.146	0.47700000000000004	0.23	0.39	13
63	M	0.375	0.305	0.09	0.3245	0.1395	0.0565	0.095	5
65	M	0.63	0.49	0.19	1.1775	0.4935	0.3365	0.285	11
67	M	0.665	0.525	0.175	1.443	0.6635	0.3845	0.353	11
73	I	0.42	0.32	0.115	0.376	0.16899999999999998	0.092	0.1	5
74	I	0.375	0.29	0.095	0.213	0.096	0.040999999999999995	0.061	5
75	F	0.5	0.39	0.13	0.6355	0.2505	0.1635	0.195	15
77	M	0.575	0.47	0.14	0.8375	0.3485	0.1735	0.24	11
78	M	0.415	0.325	0.14	0.41700000000000004	0.1535	0.1015	0.14400000000000002	10
79	I	0.5	0.375	0.145	0.5795	0.239	0.1375	0.185	9
81	F	0.54	0.475	0.155	1.217	0.5305	0.3075	0.34	16
83	F	0.735	0.565	0.205	2.1275	0.9490000000000001	0.46	0.565	12
86	M	0.485	0.385	0.125	0.4775	0.2	0.0785	0.17	12
89	F	0.675	0.535	0.16	1.41	0.5920000000000001	0.3175	0.42	16
90	F	0.63	0.5	0.17	1.3135	0.5595	0.267	0.4	20
91	M	0.475	0.37	0.125	0.649	0.34700000000000003	0.136	0.142	8
93	M	0.56	0.465	0.145	0.8875	0.3345	0.22	0.2695	9
94	I	0.605	0.47	0.145	0.8025	0.379	0.2265	0.22	9
95	F	0.635	0.51	0.185	1.286	0.526	0.295	0.4105	12
96	M	0.72	0.565	0.2	2.1055	1.0170000000000001	0.363	0.494	12
99	F	0.415	0.34	0.13	0.3675	0.146	0.0885	0.12	10
100	M	0.62	0.495	0.195	1.5145	0.579	0.34600000000000003	0.5195	15
101	I	0.53	0.42	0.185	0.752	0.299	0.156	0.205	20
102	M	0.58	0.46	0.15	1.0490000000000002	0.5205	0.1935	0.305	10
103	F	0.705	0.545	0.18	1.5395	0.6075	0.3675	0.4645	13
105	I	0.55	0.435	0.14	0.7995	0.295	0.1905	0.23800000000000002	10
106	M	0.615	0.49	0.17	1.145	0.4915	0.20800000000000002	0.34299999999999997	13
110	F	0.68	0.56	0.195	1.7775	0.861	0.322	0.415	11
111	F	0.39	0.3	0.1	0.265	0.1075	0.06	0.0865	13
112	F	0.545	0.415	0.2	1.358	0.5670000000000001	0.318	0.40299999999999997	10
114	M	0.605	0.455	0.16	1.1215	0.5329999999999999	0.273	0.271	10
115	M	0.645	0.52	0.175	1.561	0.7090000000000001	0.3555	0.4	8
116	M	0.275	0.2	0.08	0.099	0.037000000000000005	0.024	0.03	5
120	M	0.56	0.44	0.16	1.1115	0.5035	0.2785	0.26	10
123	I	0.55	0.445	0.145	0.7829999999999999	0.3045	0.157	0.265	11
126	I	0.35	0.28	0.075	0.196	0.08199999999999999	0.04	0.064	8
127	M	0.565	0.47	0.195	1.1420000000000001	0.387	0.258	0.35	17
128	M	0.62	0.45	0.2	0.858	0.4285	0.1525	0.2405	8
129	F	0.655	0.455	0.17	1.2895	0.5870000000000001	0.3165	0.3415	11
130	M	0.32	0.24	0.08	0.18	0.08	0.0385	0.055	6
131	M	0.645	0.5	0.195	1.401	0.6165	0.3515	0.3725	10
136	I	0.36	0.275	0.075	0.2205	0.0985	0.044000000000000004	0.066	7
139	I	0.505	0.38	0.135	0.5385	0.2645	0.095	0.165	9
140	M	0.645	0.51	0.16	1.1835	0.556	0.2385	0.345	11
143	M	0.525	0.4	0.155	0.7070000000000001	0.282	0.1605	0.225	9
146	I	0.52	0.39	0.14	0.7325	0.2415	0.14400000000000002	0.26	19
147	M	0.55	0.41	0.125	0.7605	0.2505	0.1635	0.195	14
150	M	0.52	0.425	0.155	0.7735	0.297	0.12300000000000001	0.255	17
151	M	0.545	0.45	0.15	0.8795	0.387	0.15	0.2625	11
152	I	0.275	0.2	0.065	0.092	0.0385	0.0235	0.027000000000000003	5
153	I	0.48	0.37	0.12	0.536	0.251	0.114	0.15	8
155	M	0.49	0.355	0.155	0.981	0.465	0.2015	0.2505	8
157	F	0.535	0.425	0.155	0.7765	0.302	0.1565	0.25	16
