age,job_1,job_2,job_3,job_4,job_5,job_6,job_7,job_8,job_9,job_10,job_11,job_12,marital_1,marital_2,marital_3,education_1,education_2,education_3,education_4,housing_1,housing_2,loan_1,loan_2,contact_1,contact_2,contact_3,day,month,duration,campaign,previous,poutcome_1,poutcome_2,poutcome_3,poutcome_4,y
39,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,3,4.0,0.2608333333333333,1,0,1,0,0,0,1
51,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,18,2.0,0.04777777777777778,10,0,1,0,0,0,1
36,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,13,4.0,0.1575,1,2,0,1,0,0,1
63,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,25,1.0,0.1175,1,0,1,0,0,0,1
31,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,30,4.0,0.13944444444444445,1,2,0,0,1,0,1
29,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,2,6.0,0.1963888888888889,14,0,1,0,0,0,1
37,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,6,9.0,0.25222222222222224,1,9,0,0,1,0,1
32,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,18,5.0,0.12277777777777778,1,8,0,1,0,0,1
31,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,7,5.0,0.24861111111111112,2,2,0,1,0,0,1
32,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,10,8.0,0.06527777777777778,1,2,0,1,0,0,1
35,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,12,8.0,0.16166666666666665,1,0,1,0,0,0,1
34,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,30,5.0,0.3047222222222222,15,0,1,0,0,0,1
34,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,31,8.0,0.009444444444444445,1,0,1,0,0,0,1
31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,5,3.0,0.03111111111111111,2,1,0,1,0,0,1
38,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,4,6.0,0.2733333333333333,2,0,1,0,0,0,1
71,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,27,4.0,0.10777777777777778,3,0,1,0,0,0,1
62,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,14,8.0,0.05138888888888889,1,0,1,0,0,0,1
66,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,15,7.0,0.07444444444444444,5,2,0,1,0,0,1
46,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,13,5.0,0.2544444444444444,2,0,1,0,0,0,1
29,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,22,7.0,0.03333333333333333,1,0,1,0,0,0,0
28,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,5,5.0,0.04027777777777778,1,0,1,0,0,0,0
67,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,11,9.0,0.02666666666666667,2,0,1,0,0,0,0
42,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,17,7.0,0.22083333333333333,1,0,1,0,0,0,1
33,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,6,2.0,0.03111111111111111,2,0,1,0,0,0,0
39,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,6,6.0,0.09833333333333333,2,0,1,0,0,0,0
57,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,11,5.0,0.22166666666666668,2,0,1,0,0,0,0
43,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,11,8.0,0.043055555555555555,2,0,1,0,0,0,0
46,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,2,2.0,0.0825,1,0,1,0,0,0,0
31,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,22,7.0,0.0725,1,0,1,0,0,0,0
